Transaction ID,Type,Date,Period,Document Number,Status,Posting,Entity,Account Number,Account Name,Memo,Item,Item Description,Quantity,Unit of Measure,Unit Price,Currency,Exchange Rate to USD,Amount (Foreign),Tax Amount (Foreign),Net Amount (Foreign),Amount (USD),Subsidiary,Location,Department,Class,Terms,Payment Method,Created From
TXN-0000001,Vendor Payment,2024-01-24,Jan 2024,VEN-689113,Processed,Yes,Salesforce,5000,COGS,Cloud services,,,,,,USD,1.0,1593.82,0.0,1593.82,1593.82,Enso EU,UK-South,Operations,SMB,,ACH,
TXN-0000002,Invoice,2024-01-14,Jan 2024,INV-573830,Open,Yes,Cyberdyne Partners,4100,Services Revenue,Support plan,SKU-ENSO-TEAM,Enso Team License,5.38,Each,947.01,EUR,1.09,3638.78,345.68,3984.46,3966.27,Enso US,US-East,Finance,Mid-Market,Due on Receipt,,
TXN-0000003,Bill,2024-01-31,Jan 2024,BIL-855772,Partially Paid,Yes,Cisco,6100,R&D Expense,Subscription,SKU-TRNG-01,Admin Training,7.64,Hour,1822.23,EUR,1.09,9729.2,924.27,10653.47,10604.83,Enso US,US-West,Finance,Mid-Market,Net 30,,
TXN-0000004,Credit Memo,2024-01-14,Jan 2024,CRE-462172,Open,Yes,Pied Piper Inc,4200,Product Revenue,Cloud services,SKU-ENSO-PRO,Enso Pro License,6.4,Each,512.57,EUR,1.09,-14087.33,0.0,-14087.33,-15355.19,Enso UK,US-West,Sales,Mid-Market,,,
TXN-0000005,Invoice,2024-01-26,Jan 2024,INV-899099,Partially Paid,Yes,Pied Piper Partners,4100,Services Revenue,Hardware purchase,SKU-ENSO-PRO,Enso Pro License,7.64,Each,1160.06,USD,1.0,19073.15,1811.95,20885.1,19073.15,Enso EU,EU-Central,R&D,Internal,Net 15,,
TXN-0000006,Cash Sale,2024-01-02,Jan 2024,CAS-730469,Paid,Yes,Soylent Corp,4200,Product Revenue,Support plan,SKU-ENSO-PRO,Enso Pro License,8.67,Each,1076.38,USD,1.0,19570.4,0.0,19570.4,19570.4,Enso UK,UK-South,Finance,Mid-Market,,Credit Card,
TXN-0000007,Bill,2024-01-11,Jan 2024,BIL-783908,Paid In Full,Yes,HP,6000,Sales & Marketing,Support plan,SKU-SUP-PREM,Premium Support,6.6,Month,1492.36,USD,1.0,2483.48,124.17,2607.65,2483.48,Enso US,EU-Central,Operations,SMB,Net 15,,
TXN-0000008,Bank Deposit,2024-01-07,Jan 2024,BAN-769037,Deposited,Yes,Stripe,6000,Sales & Marketing,Quarterly true-up,,,,,,USD,1.0,16358.69,0.0,16358.69,16358.69,Enso EU,US-West,Marketing,Internal,,Credit Card,
TXN-0000009,Item Receipt,2024-01-22,Jan 2024,ITE-914981,Received,Yes,Oracle,1200,Inventory,Travel & meals,SKU-SUP-PREM,Premium Support,6.85,Month,2103.18,USD,1.0,2859.45,250.2,3109.65,2859.45,Enso UK,US-East,HR,Enterprise,,,
TXN-0000010,Bill,2024-01-12,Jan 2024,BIL-717829,Open,Yes,Oracle,6000,Sales & Marketing,Consulting services,SKU-ENSO-PRO,Enso Pro License,2.53,Each,1720.47,EUR,1.09,6669.85,333.49,7003.34,7270.14,Enso UK,UK-South,Finance,Mid-Market,Net 15,,
TXN-0000011,Bill,2024-01-15,Jan 2024,BIL-244619,Partially Paid,Yes,Stripe,6200,G&A Expense,Subscription,SKU-ENSO-PRO,Enso Pro License,1.49,Each,1634.52,USD,1.0,12517.45,1189.16,13706.61,12517.45,Enso US,UK-South,HR,Mid-Market,Net 15,,
TXN-0000012,Customer Payment,2024-01-26,Jan 2024,CUS-491694,Undeposited,Yes,Pied Piper Partners,4100,Services Revenue,Support plan,,,,,,USD,1.0,17221.14,0.0,17221.14,17221.14,Enso UK,UK-South,Operations,Mid-Market,,Credit Card,
TXN-0000013,Bill,2024-01-25,Jan 2024,BIL-673085,Open,Yes,Fastly,6000,Sales & Marketing,Promotion credit,SKU-SUP-PREM,Premium Support,7.04,Month,1254.06,USD,1.0,11846.48,1036.57,12883.05,11846.48,Enso US,EU-Central,Marketing,Enterprise,Net 15,,
TXN-0000014,Vendor Credit,2024-01-05,Jan 2024,VEN-802327,Open,Yes,Cloudflare,6000,Sales & Marketing,Promotion credit,SKU-ENSO-TEAM,Enso Team License,1.0,Each,944.26,USD,1.0,-6991.95,0.0,-6991.95,-6991.95,Enso UK,US-West,Marketing,SMB,,,
TXN-0000015,Transfer,2024-01-21,Jan 2024,TRA-555045,Completed,Yes,Fastly,4100,Services Revenue,Travel & meals,,,,,,GBP,1.27,33453.31,0.0,33453.31,42485.7,Enso UK,UK-South,Marketing,Internal,,,
TXN-0000016,Bill,2024-01-18,Jan 2024,BIL-688985,Open,Yes,HP,6200,G&A Expense,License renewal,SKU-SUP-STD,Standard Support,1.0,Month,932.09,USD,1.0,9593.83,479.69,10073.52,9593.83,Enso UK,UK-South,R&D,Mid-Market,Net 15,,
TXN-0000017,Item Receipt,2024-01-15,Jan 2024,ITE-608835,Received,Yes,Accenture,1200,Inventory,Monthly charge,SKU-ENSO-TEAM,Enso Team License,7.13,Each,1834.68,USD,1.0,907.11,79.37,986.48,907.11,Enso UK,US-East,Operations,Mid-Market,,,
TXN-0000018,Cash Sale,2024-01-18,Jan 2024,CAS-412748,Paid,Yes,Stark Partners,4000,Revenue,Promotion credit,SKU-ENSO-TEAM,Enso Team License,7.57,Each,1046.96,USD,1.0,21408.38,0.0,21408.38,21408.38,Enso UK,US-West,Marketing,Mid-Market,,ACH,
TXN-0000019,Customer Payment,2024-01-14,Jan 2024,CUS-131223,Undeposited,Yes,Tyrell LLC,4000,Revenue,Quarterly true-up,,,,,,GBP,1.27,7693.05,0.0,7693.05,9770.17,Enso US,UK-South,Sales,Enterprise,,ACH,
TXN-0000020,Transfer,2024-01-08,Jan 2024,TRA-490884,Completed,Yes,Cisco,4200,Product Revenue,Promotion credit,,,,,,USD,1.0,33249.25,0.0,33249.25,33249.25,Enso US,US-West,Operations,SMB,,,
TXN-0000021,Bill,2024-01-21,Jan 2024,BIL-468267,Paid In Full,Yes,Accenture,5000,COGS,Promotion credit,SKU-ENSO-PRO,Enso Pro License,6.37,Each,670.46,USD,1.0,536.14,50.93,587.07,536.14,Enso US,UK-South,Sales,SMB,Due on Receipt,,
