Transaction ID,Type,Date,Period,Document Number,Status,Posting,Entity,Account Number,Account Name,Memo,Item,Item Description,Quantity,Unit of Measure,Unit Price,Currency,Exchange Rate to USD,Amount (Foreign),Tax Amount (Foreign),Net Amount (Foreign),Amount (USD),Subsidiary,Location,Department,Class,Terms,Payment Method,Created From,Approval User
TXN-0004687,Journal Entry,2024-10-14,Oct 2024,JOU-575875,Approved,Yes,Cisco,4000,Revenue,Inventory receipt,,,,,,USD,1.0,20697.66,0.0,20697.66,20697.66,Enso EU,EU-Central,Sales,SMB,,,,
TXN-0004688,Customer Payment,2024-10-24,Oct 2024,CUS-899703,Deposited,Yes,Massive Dynamic LLC,4100,Services Revenue,Hardware purchase,,,,,,USD,1.0,16564.3,0.0,16564.3,16564.3,Enso EU,US-East,Operations,SMB,,Credit Card,,Noah Smith
TXN-0004689,Invoice,2024-10-13,Oct 2024,INV-655768,Paid In Full,Yes,Acme Partners,4200,Product Revenue,Promotion credit,SKU-TRNG-01,Admin Training,5.51,Hour,91.35,USD,1.0,23595.99,2064.65,25660.64,23595.99,Enso UK,US-West,Finance,SMB,Due on Receipt,,,Elena Petrova
TXN-0004690,Vendor Credit,2024-10-27,Oct 2024,VEN-353157,Applied,Yes,Accenture,5000,COGS,Consulting services,SKU-TRNG-01,Admin Training,3.42,Hour,951.61,USD,1.0,-13822.92,0.0,-13822.92,-13822.92,Enso EU,UK-South,Finance,Mid-Market,,,,Marcus Johnson
TXN-0004691,Bill,2024-10-27,Oct 2024,BIL-627315,Partially Paid,Yes,KPMG,5000,COGS,Support plan,SKU-ENSO-TEAM,Enso Team License,5.49,Each,722.21,USD,1.0,1577.56,138.04,1715.6,1577.56,Enso EU,US-East,Sales,Enterprise,Net 30,,,Jane Miller
TXN-0004692,Bill,2024-10-05,Oct 2024,BIL-704059,Open,Yes,Salesforce,6100,R&D Expense,Inventory receipt,SKU-ENSO-TEAM,Enso Team License,9.88,Each,1030.69,USD,1.0,3001.01,150.05,3151.06,3001.01,Enso EU,US-West,Marketing,Internal,Net 15,,,Amelia Wong
TXN-0004693,Bill,2024-10-24,Oct 2024,BIL-544248,Paid In Full,Yes,Zoom,6100,R&D Expense,Subscription,SKU-ENSO-TEAM,Enso Team License,11.58,Each,1729.69,USD,1.0,2888.02,252.7,3140.72,2888.02,Enso EU,US-East,Finance,Mid-Market,Due on Receipt,,,Marcus Johnson
TXN-0004694,Cash Sale,2024-10-30,Oct 2024,CAS-300412,Paid,Yes,Wayne LLC,4200,Product Revenue,Travel & meals,SKU-ENSO-PRO,Enso Pro License,9.07,Each,118.98,USD,1.0,16696.3,1586.15,18282.45,16696.3,Enso EU,EU-Central,Sales,Mid-Market,,Check,,
TXN-0004695,Invoice,2024-10-19,Oct 2024,INV-563399,Paid In Full,Yes,Cyberdyne LLC,4100,Services Revenue,Subscription,SKU-SUP-STD,Standard Support,1.79,Month,1122.74,USD,1.0,2786.47,139.32,2925.79,2786.47,Enso US,US-East,Operations,Enterprise,Net 15,,,
TXN-0004696,Cash Sale,2024-10-26,Oct 2024,CAS-278186,Paid,Yes,Stark Corp,4100,Services Revenue,Subscription,SKU-TRNG-01,Admin Training,5.88,Hour,2134.8,USD,1.0,16750.18,1465.64,18215.82,16750.18,Enso UK,US-West,Finance,Enterprise,,Check,,
