Transaction ID,Type,Date,Period,Document Number,Status,Posting,Entity,Account Number,Account Name,Memo,Item,Item Description,Quantity,Unit of Measure,Unit Price,Currency,Exchange Rate to USD,Amount (Foreign),Tax Amount (Foreign),Net Amount (Foreign),Amount (USD),Subsidiary,Location,Department,Class,Terms,Payment Method,Created From
TXN-0001513,Invoice,2024-04-14,Apr 2024,INV-100375,Paid In Full,Yes,Acme Inc,4100,Services Revenue,Cloud services,SKU-TRNG-01,Admin Training,3.82,Hour,748.39,USD,1.0,17329.01,866.45,18195.46,17329.01,Enso EU,UK-South,Finance,Internal,Due on Receipt,,
TXN-0001514,Bill,2024-04-06,Apr 2024,BIL-407533,Paid In Full,Yes,Dell,5000,COGS,Inventory receipt,SKU-SUP-STD,Standard Support,2.75,Month,2398.74,USD,1.0,3825.72,0.0,3825.72,3825.72,Enso EU,UK-South,R&D,Mid-Market,Net 45,,
TXN-0001515,Invoice,2024-04-30,Apr 2024,INV-104877,Partially Paid,Yes,Umbrella Corp,4100,Services Revenue,Consulting services,SKU-TRNG-01,Admin Training,7.11,Hour,783.01,USD,1.0,7543.66,660.07,8203.73,7543.66,Enso EU,EU-Central,Operations,Enterprise,Net 15,,
TXN-0001516,Vendor Payment,2024-04-10,Apr 2024,VEN-677070,Processed,Yes,Accenture,5000,COGS,License renewal,,,,,,USD,1.0,5072.07,0.0,5072.07,5072.07,Enso EU,EU-Central,HR,Internal,,Wire,
TXN-0001517,Invoice,2024-04-26,Apr 2024,INV-322218,Open,Yes,Wonka Partners,4100,Services Revenue,Inventory receipt,SKU-TRNG-01,Admin Training,7.77,Hour,1394.41,USD,1.0,4987.92,249.4,5237.32,4987.92,Enso EU,US-East,Marketing,Mid-Market,Net 45,,
TXN-0001518,Invoice,2024-04-05,Apr 2024,INV-500531,Open,Yes,Vehement Inc,4200,Product Revenue,Monthly charge,SKU-ENSO-PRO,Enso Pro License,1.0,Each,1379.11,USD,1.0,2849.05,270.66,3119.71,2849.05,Enso US,US-West,Sales,Enterprise,Net 15,,
TXN-0001519,Invoice,2024-04-14,Apr 2024,INV-676153,Open,Yes,Wayne LLC,4200,Product Revenue,Training session,SKU-ENSO-TEAM,Enso Team License,1.0,Each,1380.09,USD,1.0,19445.85,0.0,19445.85,19445.85,Enso UK,EU-Central,HR,SMB,Net 30,,
TXN-0001520,Customer Payment,2024-04-22,Apr 2024,CUS-393721,Deposited,Yes,Cyberdyne Partners,4000,Revenue,Cloud services,,,,,,USD,1.0,20215.36,0.0,20215.36,20215.36,Enso EU,US-West,Marketing,Internal,,ACH,
TXN-0001521,Customer Payment,2024-04-09,Apr 2024,CUS-748865,Deposited,Yes,Umbrella Inc,4000,Revenue,License renewal,,,,,,USD,1.0,10851.67,0.0,10851.67,10851.67,Enso US,UK-South,Marketing,Internal,,ACH,
TXN-0001522,Vendor Payment,2024-04-07,Apr 2024,VEN-187327,Processed,Yes,Microsoft,6200,G&A Expense,License renewal,,,,,,USD,1.0,258.4,0.0,258.4,258.4,Enso UK,US-East,R&D,Mid-Market,,Check,
TXN-0001523,Customer Payment,2024-04-10,Apr 2024,CUS-938348,Deposited,Yes,Wonka LLC,4200,Product Revenue,Consulting services,,,,,,EUR,1.09,8857.0,0.0,8857.0,9654.13,Enso EU,US-West,R&D,Mid-Market,,ACH,
TXN-0001524,Bill,2024-04-06,Apr 2024,BIL-613483,Partially Paid,Yes,Microsoft,6200,G&A Expense,Consulting services,SKU-SUP-PREM,Premium Support,4.5,Month,1123.33,USD,1.0,9116.73,455.84,9572.57,9116.73,Enso US,US-East,HR,SMB,Net 30,,
TXN-0001525,Cash Sale,2024-04-23,Apr 2024,CAS-514183,Paid,Yes,Massive Dynamic Corp,4200,Product Revenue,Cloud services,SKU-TRNG-01,Admin Training,1.09,Hour,1690.87,USD,1.0,24534.03,2146.73,26680.76,24534.03,Enso EU,EU-Central,R&D,Mid-Market,,Wire,
