Transaction ID,Type,Date,Period,Document Number,Status,Posting,Entity,Account Number,Account Name,Memo,Item,Item Description,Quantity,Unit of Measure,Unit Price,Currency,Exchange Rate to USD,Amount (Foreign),Tax Amount (Foreign),Net Amount (Foreign),Amount (USD),Subsidiary,Location,Department,Class,Terms,Payment Method,Created From
TXN-0002566,Expense Report,2024-06-14,Jun 2024,EXP-713620,Pending Approval,Yes,Oracle,6100,R&D Expense,Quarterly true-up,SKU-SUP-STD,Standard Support,7.5,Month,1356.0,USD,1.0,12291.77,1075.53,13367.3,12291.77,Enso US,US-East,R&D,Enterprise,,,
TXN-0002567,Item Receipt,2024-06-13,Jun 2024,ITE-787083,Received,Yes,Salesforce,1200,Inventory,Monthly charge,SKU-ENSO-TEAM,Enso Team License,3.21,Each,1042.86,USD,1.0,12149.41,607.47,12756.88,12149.41,Enso US,EU-Central,Finance,Internal,,,
TXN-0002568,Invoice,2024-06-22,Jun 2024,INV-228862,Paid In Full,Yes,Stark Partners,4000,Revenue,Training session,SKU-SUP-STD,Standard Support,6.35,Month,635.62,USD,1.0,23372.02,2220.34,25592.36,23372.02,Enso EU,US-West,Finance,SMB,Due on Receipt,,
TXN-0002569,Cash Sale,2024-06-18,Jun 2024,CAS-618655,Paid,Yes,Tyrell Corp,4200,Product Revenue,Hardware purchase,SKU-ENSO-PRO,Enso Pro License,7.3,Each,1371.91,EUR,1.09,11294.17,1072.95,12367.12,12310.65,Enso UK,UK-South,Sales,Enterprise,,Credit Card,
TXN-0002570,Invoice,2024-06-06,Jun 2024,INV-148754,Paid In Full,Yes,Umbrella Inc,4000,Revenue,Monthly charge,SKU-SUP-STD,Standard Support,5.85,Month,1108.31,GBP,1.27,20221.2,0.0,20221.2,25680.92,Enso EU,UK-South,HR,SMB,Due on Receipt,,
TXN-0002571,Cash Sale,2024-06-18,Jun 2024,CAS-934680,Paid,Yes,Soylent Corp,4000,Revenue,Quarterly true-up,SKU-ENSO-TEAM,Enso Team License,2.85,Each,1157.36,EUR,1.09,14825.84,1297.26,16123.1,16160.17,Enso US,EU-Central,HR,Internal,,ACH,
TXN-0002572,Bill,2024-06-01,Jun 2024,BIL-288932,Paid In Full,Yes,HP,6000,Sales & Marketing,Promotion credit,SKU-TRNG-01,Admin Training,2.11,Hour,822.81,USD,1.0,4151.41,207.57,4358.98,4151.41,Enso UK,EU-Central,Operations,SMB,Net 15,,
TXN-0002573,Cash Sale,2024-06-23,Jun 2024,CAS-556091,Paid,Yes,Soylent Partners,4100,Services Revenue,Support plan,SKU-TRNG-01,Admin Training,3.97,Hour,1146.1,USD,1.0,13197.15,1253.73,14450.88,13197.15,Enso UK,US-West,R&D,Internal,,Credit Card,
TXN-0002574,Vendor Credit,2024-06-10,Jun 2024,VEN-378704,Open,Yes,Dell,5000,COGS,License renewal,SKU-ENSO-TEAM,Enso Team License,2.68,Each,2065.18,USD,1.0,-1436.75,0.0,-1436.75,-1436.75,Enso US,EU-Central,Operations,Enterprise,,,
TXN-0002575,Invoice,2024-06-29,Jun 2024,INV-116058,Open,Yes,Acme LLC,4000,Revenue,Promotion credit,SKU-SUP-PREM,Premium Support,3.59,Month,1535.03,USD,1.0,5101.4,446.37,5547.77,5101.4,Enso US,EU-Central,Operations,Enterprise,Net 15,,
