Transaction ID,Type,Date,Period,Document Number,Status,Posting,Entity,Account Number,Account Name,Memo,Item,Item Description,Quantity,Unit of Measure,Unit Price,Currency,Exchange Rate to USD,Amount (Foreign),Tax Amount (Foreign),Net Amount (Foreign),Amount (USD),Subsidiary,Location,Department,Class,Terms,Payment Method,Created From
TXN-0003632,Invoice,2024-08-10,Aug 2024,INV-925277,Paid In Full,Yes,Wayne Inc,4200,Product Revenue,Hardware purchase,SKU-TRNG-01,Admin Training,2.83,Hour,1576.21,USD,1.0,1616.93,153.61,1770.54,1616.93,Enso EU,EU-Central,R&D,Mid-Market,Net 30,,
TXN-0003633,Transfer,2024-08-20,Aug 2024,TRA-578032,Completed,Yes,AWS,6000,Sales & Marketing,Subscription,,,,,,USD,1.0,16749.9,0.0,16749.9,16749.9,Enso US,EU-Central,R&D,Enterprise,,,
TXN-0003634,Vendor Payment,2024-08-18,Aug 2024,VEN-890160,Processed,Yes,Deloitte,6200,G&A Expense,Quarterly true-up,,,,,,GBP,1.27,9261.13,0.0,9261.13,11761.64,Enso UK,US-East,HR,Mid-Market,,Check,
TXN-0003635,Credit Memo,2024-08-02,Aug 2024,CRE-247318,Applied,Yes,Soylent Inc,4200,Product Revenue,Consulting services,SKU-ENSO-PRO,Enso Pro License,2.53,Each,1569.43,USD,1.0,-3244.63,0.0,-3244.63,-3244.63,Enso US,EU-Central,Operations,Internal,,,
TXN-0003636,Customer Payment,2024-08-25,Aug 2024,CUS-954433,Deposited,Yes,Hooli LLC,4200,Product Revenue,Cloud services,,,,,,GBP,1.27,5833.66,0.0,5833.66,7408.75,Enso US,US-East,Finance,Enterprise,,Credit Card,
TXN-0003637,Journal Entry,2024-08-30,Aug 2024,JOU-223464,Approved,Yes,HP,1000,Checking,Subscription,,,,,,USD,1.0,13777.97,0.0,13777.97,13777.97,Enso US,US-West,HR,Mid-Market,,,
TXN-0003638,Invoice,2024-08-03,Aug 2024,INV-771654,Paid In Full,Yes,Initech Partners,4200,Product Revenue,Consulting services,SKU-ENSO-PRO,Enso Pro License,4.73,Each,2117.87,USD,1.0,19778.85,988.94,20767.79,19778.85,Enso EU,US-West,HR,SMB,Due on Receipt,,
TXN-0003639,Invoice,2024-08-14,Aug 2024,INV-655103,Partially Paid,Yes,Soylent Corp,4100,Services Revenue,Promotion credit,SKU-ENSO-PRO,Enso Pro License,4.58,Each,929.33,USD,1.0,13848.29,0.0,13848.29,13848.29,Enso UK,US-West,Marketing,SMB,Net 45,,
TXN-0003640,Journal Entry,2024-08-20,Aug 2024,JOU-944680,Approved,Yes,KPMG,6200,G&A Expense,Quarterly true-up,,,,,,USD,1.0,23299.47,0.0,23299.47,23299.47,Enso UK,US-West,Operations,Mid-Market,,,
TXN-0003641,Bill,2024-08-14,Aug 2024,BIL-961598,Open,Yes,Cloudflare,6000,Sales & Marketing,License renewal,SKU-ENSO-PRO,Enso Pro License,5.41,Each,428.02,GBP,1.27,4259.7,0.0,4259.7,5409.82,Enso EU,US-West,Marketing,Enterprise,Net 30,,
TXN-0003642,Bill,2024-08-21,Aug 2024,BIL-427978,Paid In Full,Yes,Zoom,5000,COGS,Inventory receipt,SKU-ENSO-PRO,Enso Pro License,4.82,Each,229.11,USD,1.0,12074.64,1147.09,13221.73,12074.64,Enso UK,UK-South,Finance,Mid-Market,Net 30,,
TXN-0003643,Credit Memo,2024-08-02,Aug 2024,CRE-348137,Open,Yes,Umbrella Inc,4200,Product Revenue,Subscription,SKU-TRNG-01,Admin Training,4.55,Hour,1580.26,USD,1.0,-10858.69,0.0,-10858.69,-10858.69,Enso US,EU-Central,HR,Internal,,,
TXN-0003644,Cash Sale,2024-08-28,Aug 2024,CAS-439865,Paid,Yes,Acme Partners,4100,Services Revenue,Hardware purchase,SKU-ENSO-TEAM,Enso Team License,4.82,Each,2850.83,USD,1.0,5511.61,523.6,6035.21,5511.61,Enso EU,US-West,Finance,Internal,,ACH,
TXN-0003645,Customer Payment,2024-08-29,Aug 2024,CUS-823209,Undeposited,Yes,Umbrella Partners,4100,Services Revenue,Travel & meals,,,,,,USD,1.0,8329.4,0.0,8329.4,8329.4,Enso US,UK-South,HR,Mid-Market,,ACH,
TXN-0003646,Vendor Credit,2024-08-22,Aug 2024,VEN-349564,Open,Yes,Deloitte,6200,G&A Expense,Promotion credit,SKU-SUP-PREM,Premium Support,3.27,Month,1005.49,EUR,1.09,-4631.74,0.0,-4631.74,-5048.6,Enso EU,US-West,R&D,Mid-Market,,,
TXN-0003647,Expense Report,2024-08-25,Aug 2024,EXP-848215,Pending Approval,Yes,Stripe,6100,R&D Expense,Consulting services,SKU-SUP-PREM,Premium Support,7.05,Month,1345.31,USD,1.0,3875.03,368.13,4243.16,3875.03,Enso UK,US-East,Operations,Mid-Market,,,
TXN-0003648,Invoice,2024-08-09,Aug 2024,INV-926216,Open,Yes,Wayne LLC,4200,Product Revenue,Cloud services,SKU-SUP-PREM,Premium Support,4.87,Month,655.46,USD,1.0,15745.49,1377.73,17123.22,15745.49,Enso US,US-West,Marketing,SMB,Net 45,,
TXN-0003649,Customer Payment,2024-08-22,Aug 2024,CUS-619569,Undeposited,Yes,Wonka LLC,4000,Revenue,Training session,,,,,,USD,1.0,10681.12,0.0,10681.12,10681.12,Enso US,US-East,R&D,SMB,,Credit Card,
